Epiweek,Mean,Standard Deviation
1,1.796190842105263,1.2139019231966184
2,1.9325141578947367,1.3827519443339016
3,1.9270695789473689,1.0825852762594355
4,1.9905978947368423,1.1859195403859626
5,2.0729879473684214,1.1929445922182582
6,1.9664783684210523,0.8538645961968697
7,2.286367894736842,1.2520980707284408
8,2.5072978947368423,1.1007258353161382
9,2.470586315789473,1.1606117659425659
10,2.6030515789473685,1.2893253681970485
11,3.099989473684211,1.7423641001161057
12,3.6183626315789477,1.5155553485068805
13,4.47747,1.4711113688458017
14,4.1415485,1.7551418250935593
15,3.5749385000000005,1.450595014520852
16,3.475105,1.1274623119843075
17,3.7357199999999997,1.015240109924741
18,3.7607400000000006,1.0280433504672846
19,3.768862000000001,1.0519386057161322
20,3.6487195,1.3189805570609257
21,3.5557209999999997,1.0994361271574624
22,3.2054465,1.0152547396406233
23,3.06026725,1.060942556337848
24,2.9237005,0.9697857584975922
25,2.6856265,0.8442543400911541
26,2.49210525,0.9876507084028682
27,2.1428126,0.8214226032870291
28,1.87560275,0.6548265588122458
29,1.6628280500000003,0.5889055680239808
30,1.6306253000000002,0.519540689839795
31,1.7580114500000001,1.1309831953049732
32,1.54422505,0.755918168656666
33,1.4808003,0.5538606538561933
34,1.482295,0.608804117389165
